"","id","municipality","wave","year","firsttreat","sep_rate","log_totwaste","log_residual","population","left","young","old","tertiary","tourism"
"1959",851,"TOSSA DE MAR",10,2020,9,56.925,6.92195892787784,6.07881915589114,5818,0.535606060606061,0.138870208473436,0.162743779421654,28,14214
"1960",851,"TOSSA DE MAR",11,2022,9,58.375,7.08267870362466,6.2045740527691,5956,0.535606060606061,0.138870208473436,0.162743779421654,28,14214
"1961",853,"ULLÀ",4,2009,9,27.23,6.15319003691572,5.82974059978321,1076,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1962",853,"ULLÀ",5,2011,9,26.145,6.07893727599179,5.77587681265808,1075,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1963",853,"ULLÀ",6,2013,9,25.96,6.06868018546112,5.76808444937043,1057,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1964",853,"ULLÀ",7,2014,9,24.385,6.12423471257261,5.84472620231514,1053,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1965",853,"ULLÀ",8,2016,9,27.06,6.21035908413278,5.90097129609155,1077,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1966",853,"ULLÀ",9,2018,9,46.845,6.26947736846578,5.63090030582038,1139,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1967",853,"ULLÀ",10,2020,9,52.965,6.42755584875791,5.67354888525254,1177,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1968",853,"ULLÀ",11,2022,9,57.055,6.30681346327304,5.46328052872508,1195,0.537878787878788,0.150557620817844,0.127323420074349,19.1,19
"1969",854,"ULLASTRELL",4,2009,0,32.415,6.1424781686521,5.75555486497074,1864,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1970",854,"ULLASTRELL",5,2011,0,36.87,6.13160685191879,5.67211046656529,1904,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1971",854,"ULLASTRELL",6,2013,0,39.24,6.03591196184328,5.53776084682451,2030,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1972",854,"ULLASTRELL",7,2014,0,38.19,6.09834390873508,5.61783151441048,2056,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1973",854,"ULLASTRELL",8,2016,0,41.085,5.99010111806088,5.46054899545457,2039,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1974",854,"ULLASTRELL",9,2018,0,43.765,6.02233380928354,5.44680777731515,2069,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1975",854,"ULLASTRELL",10,2020,0,72.065,5.95416498735716,4.73470993245629,2089,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1976",854,"ULLASTRELL",11,2022,0,87.965,5.75923294931655,3.63931903552805,2139,0.546268656716418,0.204935622317597,0.113733905579399,41.5,0
"1977",860,"VACARISSES",4,2009,0,41.68,6.8500043366907,6.30196943874215,5872,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1978",860,"VACARISSES",5,2011,0,35.13,6.47342762618887,6.03720588390788,6175,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1979",860,"VACARISSES",6,2013,0,37.77,6.42246743900399,5.94814342598087,6260,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1980",860,"VACARISSES",7,2014,0,39.285,6.49898220558479,5.99912710899161,6218,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1981",860,"VACARISSES",8,2016,0,41.74,6.52352559475613,5.98358491542025,6192,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1982",860,"VACARISSES",9,2018,0,83.025,6.21685862606366,4.4414663429293,6486,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1983",860,"VACARISSES",10,2020,0,84.705,6.30314081758374,4.42487333045879,6832,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1984",860,"VACARISSES",11,2022,0,83.825,6.15284970913424,4.33116947868464,7325,0.614754098360656,0.216450953678474,0.100647138964578,34.4,0
"1985",862,"VALL-LLOBREGA",4,2009,0,25.275,6.5708129318763,6.27759874821184,853,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1986",862,"VALL-LLOBREGA",5,2011,0,27.84,6.56338997389158,6.23760357617133,877,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1987",862,"VALL-LLOBREGA",6,2013,0,32.24,6.46145255123165,6.07223395601256,910,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1988",862,"VALL-LLOBREGA",7,2014,0,31.455,6.48423821026622,6.1066909647532,901,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1989",862,"VALL-LLOBREGA",8,2016,0,32.68,6.45726403883912,6.06162727897005,922,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1990",862,"VALL-LLOBREGA",9,2018,0,36.28,6.4546929116867,6.00319242210807,912,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1991",862,"VALL-LLOBREGA",10,2020,0,42.05,6.62937646338983,6.08376636636968,897,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1992",862,"VALL-LLOBREGA",11,2022,0,44.315,6.42275171104612,5.83700174684639,926,0.604215456674473,0.226260257913247,0.0879249706916764,38.9,541
"1993",867,"VALLBONA D'ANOIA",4,2009,0,18.77,6.00370186477246,5.79537075141125,1427,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"1994",867,"VALLBONA D'ANOIA",5,2011,0,24.77,5.87462169434112,5.59634036188065,1433,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"1995",867,"VALLBONA D'ANOIA",6,2013,0,17.23,6.0651563612514,5.87603722514406,1431,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"1996",867,"VALLBONA D'ANOIA",7,2014,0,20.315,5.84835889576344,5.62104823609023,1424,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"1997",867,"VALLBONA D'ANOIA",8,2016,0,24.42,5.86823702962173,5.58821899944784,1412,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"1998",867,"VALLBONA D'ANOIA",9,2018,0,20.775,6.01551516248736,5.78630382746188,1399,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"1999",867,"VALLBONA D'ANOIA",10,2020,0,17.495,6.0786509087869,5.88623191977582,1357,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"2000",867,"VALLBONA D'ANOIA",11,2022,0,64.31,5.58516784331996,4.7140041959206,1387,0.616264294790343,0.1541695865452,0.149964961457603,29.3,0
"2001",875,"VALLIRANA",4,2009,0,43.28,6.38678672248309,5.81984042595859,14066,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2002",875,"VALLIRANA",5,2011,0,40.16,6.26669757577195,5.75338593055857,14409,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2003",875,"VALLIRANA",6,2013,0,42.16,6.22973313616726,5.68223692764811,14625,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2004",875,"VALLIRANA",7,2014,0,38.655,6.19160555685688,5.68761261085625,14612,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2005",875,"VALLIRANA",8,2016,0,45.63,6.30349771042359,5.69412815594295,14676,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2006",875,"VALLIRANA",9,2018,0,44.72,6.31774690168475,5.7208797290987,14877,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2007",875,"VALLIRANA",10,2020,0,50.7,6.41261433828215,5.70551122776012,15312,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2008",875,"VALLIRANA",11,2022,0,47.56,6.24983044413195,5.60366267289834,15658,0.579929328621908,0.183989762547988,0.126617375231054,31.8,8
"2009",876,"VALLMOLL",4,2009,0,38.86,6.34316840565027,5.85369663224559,1630,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2010",876,"VALLMOLL",5,2011,0,36.585,6.18375706160508,5.7220251695087,1651,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2011",876,"VALLMOLL",6,2013,0,42.39,6.24560276252442,5.69415845455629,1674,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2012",876,"VALLMOLL",7,2014,0,40.89,6.25448244406505,5.72860489851242,1670,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2013",876,"VALLMOLL",8,2016,0,39.77,6.26827208050774,5.76071362373902,1645,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2014",876,"VALLMOLL",9,2018,0,38.745,6.10306264706417,5.60594175126218,1738,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2015",876,"VALLMOLL",10,2020,0,42.32,6.29206901459997,5.73022582015968,1774,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2016",876,"VALLMOLL",11,2022,0,46.42,6.26783602021075,5.64312035573886,1882,0.589861751152074,0.14601226993865,0.138036809815951,31.1,0
"2017",878,"VALLS",4,2009,0,33.035,6.16813474836511,5.76713945648028,25092,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2018",878,"VALLS",5,2011,0,41.07,6.1084472625936,5.57949623817562,25016,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2019",878,"VALLS",6,2013,0,41.77,6.05966043442073,5.51895707589656,24649,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2020",878,"VALLS",7,2014,0,41.795,6.13216083545466,5.59073151657361,24570,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2021",878,"VALLS",8,2016,0,39.275,6.23042239071655,5.72960703087085,24285,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2022",878,"VALLS",9,2018,0,39.2,6.25291759639341,5.75508331186759,24156,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2023",878,"VALLS",10,2020,0,45.435,6.2867892153822,5.68105324454485,24477,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2024",878,"VALLS",11,2022,0,46.325,6.22185179935807,5.5995016541773,24727,0.590653249189835,0.156982305117169,0.157699665231946,27.9,316
"2025",885,"VENTALLÓ",4,2009,0,19.39,6.39276265197149,6.17724706912587,780,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2026",885,"VENTALLÓ",5,2011,0,21.37,6.3363211791027,6.09658330560372,800,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2027",885,"VENTALLÓ",6,2013,0,22.74,6.24569970589987,5.98771519577822,815,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2028",885,"VENTALLÓ",7,2014,0,45.81,6.5267144547845,5.91441014253136,836,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2029",885,"VENTALLÓ",8,2016,0,44.01,6.6288016690942,6.04902592408413,802,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2030",885,"VENTALLÓ",9,2018,0,52.65,6.65153489840101,5.90405494702497,854,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2031",885,"VENTALLÓ",10,2020,0,50.86,6.64765594761608,5.91674329058013,846,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2032",885,"VENTALLÓ",11,2022,0,53.13,6.5762467029898,5.79913171724534,911,0.508379888268156,0.132051282051282,0.21025641025641,36.7,32
"2033",886,"VERDÚ",4,2009,6,37.59,5.72402618113324,5.293329825037,1025,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2034",886,"VERDÚ",5,2011,6,58.39,5.82153588024399,4.94431862137287,1006,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2035",886,"VERDÚ",6,2013,6,58.38,5.88740873550909,5.01070182548246,1002,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2036",886,"VERDÚ",7,2014,6,65.505,5.86128467471697,4.7965302286699,964,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2037",886,"VERDÚ",8,2016,6,68.165,6.03133408818843,4.88193966761726,933,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2038",886,"VERDÚ",9,2018,6,67.71,6.00127941394249,4.86637108817166,905,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2039",886,"VERDÚ",10,2020,6,69.26,6.16961073249146,4.98814385562849,902,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2040",886,"VERDÚ",11,2022,6,68.325,6.09239526568642,4.94346508724185,851,0.516873889875666,0.120975609756098,0.290731707317073,31.2,7
"2041",887,"VERGES",4,2009,8,38.595,6.22150426511003,5.73199934644113,1162,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2042",887,"VERGES",5,2011,8,34.21,6.16121787016265,5.74192322562776,1207,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2043",887,"VERGES",6,2013,8,34.92,6.11140081844319,5.68186356001604,1210,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2044",887,"VERGES",7,2014,8,34.91,6.234842005253,5.80582895113613,1195,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2045",887,"VERGES",8,2016,8,38.155,6.1868051537601,5.70606465922743,1150,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2046",887,"VERGES",9,2018,8,71.645,6.22482514586214,4.90027869071719,1189,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2047",887,"VERGES",10,2020,8,92.215,6.27094117176235,3.71857975357839,1169,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2048",887,"VERGES",11,2022,8,91.935,6.30767941019447,3.7902377111056,1162,0.489766081871345,0.129087779690189,0.232358003442341,32.4,39
"2049",889,"VIC",4,2009,0,44.565,6.22481582188961,5.63492801155167,39844,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2050",889,"VIC",5,2011,0,47.975,6.11001395569227,5.45703529973716,40900,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2051",889,"VIC",6,2013,0,49.1,6.04068319089548,5.36537689868367,41647,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2052",889,"VIC",7,2014,0,48.005,6.02549150758632,5.37006451045549,41956,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2053",889,"VIC",8,2016,0,50.38,6.09085729098602,5.39010794270306,43287,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
"2054",889,"VIC",9,2018,0,55.75,6.12722983434118,5.31180175172245,45040,0.515559528465277,0.169260114446341,0.154176287521333,30.2,370
